num_nodes,p,r,prob_selected,edge_method,time_mc,approximation,time_ic_apporx,rmse,pearson,spearman,auc
1000,0.02,0.0,0.001,random_0.1,0.14603018760681152,fixed_point,0.009987354278564453,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.14603018760681152,dmp,0.06251382827758789,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.14603018760681152,Srivastava,0.0031783580780029297,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.14603018760681152,ALE,0.0018930435180664062,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.14603018760681152,Modified_ALE,0.001966238021850586,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.2012500762939453,Matic,0.0018308162689208984,0.005828977254065176,tensor(0.9934),0.8049228675065251,0.9996842105263157
1000,0.02,0.0,0.001,random_0.1,0.2012500762939453,fixed_point,0.019741058349609375,0.015356977215517225,tensor(0.9600),0.6704688303757752,1.0
1000,0.02,0.0,0.001,random_0.1,0.2012500762939453,dmp,0.07221531867980957,0.03719678422291359,tensor(0.8402),0.801936169173216,0.9983263157894738
1000,0.02,0.0,0.001,random_0.1,0.2012500762939453,Srivastava,0.0042226314544677734,0.006232477854194424,tensor(0.9925),0.6922532096475338,1.0
1000,0.02,0.0,0.001,random_0.1,0.2012500762939453,ALE,0.0020432472229003906,0.017885203960036216,tensor(0.9962),0.520520344509088,0.9192421052631577
1000,0.02,0.0,0.001,random_0.1,0.2012500762939453,Modified_ALE,0.002452850341796875,0.010470970161032456,tensor(0.9802),0.6922519215218961,1.0
1000,0.02,0.0,0.001,random_0.1,0.15585637092590332,Matic,0.0020895004272460938,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15585637092590332,fixed_point,0.009731054306030273,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15585637092590332,dmp,0.07322096824645996,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15585637092590332,Srivastava,0.004013776779174805,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15585637092590332,ALE,0.002206087112426758,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15585637092590332,Modified_ALE,0.002492189407348633,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.1580491065979004,Matic,0.0019898414611816406,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.1580491065979004,fixed_point,0.007396221160888672,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.1580491065979004,dmp,0.06900215148925781,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.1580491065979004,Srivastava,0.0035915374755859375,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.1580491065979004,ALE,0.0021829605102539062,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.1580491065979004,Modified_ALE,0.0022187232971191406,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.19996070861816406,Matic,0.002070188522338867,0.0046291070362774085,tensor(0.9952),0.8516644519162344,0.9992900032456995
1000,0.02,0.0,0.001,random_0.1,0.19996070861816406,fixed_point,0.007661342620849609,0.010719330200476633,tensor(0.9760),0.6684488805536626,0.9995537163258682
1000,0.02,0.0,0.001,random_0.1,0.19996070861816406,dmp,0.06845402717590332,0.01980842007195288,tensor(0.9003),0.8462880882860313,0.9983162934112302
1000,0.02,0.0,0.001,random_0.1,0.19996070861816406,Srivastava,0.003276824951171875,0.0044077025574374195,tensor(0.9956),0.791011200401333,0.9790145245050309
1000,0.02,0.0,0.001,random_0.1,0.19996070861816406,ALE,0.001971006393432617,0.03529054766416542,tensor(0.9940),0.6167162525402489,0.9114228334956183
1000,0.02,0.0,0.001,random_0.1,0.19996070861816406,Modified_ALE,0.002093791961669922,0.009915703309282771,tensor(0.9792),0.7909986095368623,0.9788522395326194
1000,0.02,0.0,0.001,random_0.1,0.15998148918151855,Matic,0.002094745635986328,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15998148918151855,fixed_point,0.007490396499633789,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15998148918151855,dmp,0.06509113311767578,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15998148918151855,Srivastava,0.0032188892364501953,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15998148918151855,ALE,0.0019719600677490234,0.0,tensor(nan),,
1000,0.02,0.0,0.001,random_0.1,0.15998148918151855,Modified_ALE,0.002088785171508789,0.0,tensor(nan),,
