dataset,prob_selected,edge_method,time_mc,approximation,T,L,time_ic_apporx,rmse,pearson,spearman,auc
Anybeat,0.1,random_0.1,200.27478885650635,dmp_inf,10,0,0.33150482177734375,0.0027549866723858233,tensor(0.9999),0.9995142055468186,0.999997369665616
Anybeat,0.1,random_0.1,200.27478885650635,modified_ALE,3,0,0.0455935001373291,0.06364134161723874,tensor(0.9774),0.9711990714915557,0.9966348817059718
Anybeat,0.1,random_0.1,200.27478885650635,ALE_heuristic,3,0,0.045392513275146484,0.0773338823333464,tensor(0.9474),0.9421713966319416,0.9968520158093618
Anybeat,0.1,random_0.1,198.4954810142517,SWE,3,4,0.06149768829345703,0.002955326688823045,tensor(0.9999),0.9994567476393723,0.9999843495104159
Anybeat,0.1,random_0.1,198.4954810142517,um_IC,9,0,0.06612753868103027,0.0032447787248288842,tensor(0.9999),0.9994578945595751,0.9999838234435391
Anybeat,0.1,random_0.1,198.4954810142517,dmp_um_fast,10,0,0.23362970352172852,0.2227799172540152,tensor(0.4678),0.7258484318739443,0.721431740981504
Anybeat,0.1,random_0.1,198.4954810142517,Naive,10,0,0.14324426651000977,0.22270175401932993,tensor(0.4703),0.7263598615740401,0.7217511950924274
Anybeat,0.1,random_0.1,198.4954810142517,dmp_ic_fast,10,0,0.15779900550842285,0.22273904532597552,tensor(0.4687),0.7260553693028569,0.721537217390298
Anybeat,0.1,random_0.1,198.4954810142517,dmp_inf,10,0,0.3257477283477783,0.002854319826269224,tensor(0.9999),0.9994898469163479,0.9999819822094703
Anybeat,0.1,random_0.1,198.4954810142517,modified_ALE,3,0,0.04697775840759277,0.05609441339743378,tensor(0.9795),0.9657115911676535,0.9976294111365202
Anybeat,0.1,random_0.1,198.4954810142517,ALE_heuristic,3,0,0.04581570625305176,0.07800973793847418,tensor(0.9439),0.9353032457078233,0.9967516685526164
Anybeat,0.1,random_0.1,201.5588300228119,SWE,3,4,0.06210684776306152,0.0028994589899910745,tensor(0.9999),0.9995018838120759,0.9999877872202847
Anybeat,0.1,random_0.1,201.5588300228119,um_IC,9,0,0.06225991249084473,0.003126342091061873,tensor(0.9999),0.999484586232927,0.9999858174171047
Anybeat,0.1,random_0.1,201.5588300228119,dmp_um_fast,10,0,0.23894405364990234,0.22644404076835553,tensor(0.4583),0.7031654361063959,0.6992631885545505
Anybeat,0.1,random_0.1,201.5588300228119,Naive,10,0,0.14877557754516602,0.2263548902803439,tensor(0.4609),0.7037615597359672,0.6996005501791602
Anybeat,0.1,random_0.1,201.5588300228119,dmp_ic_fast,10,0,0.16289663314819336,0.22639786559297637,tensor(0.4592),0.7033965079792709,0.6993528802593416
Anybeat,0.1,random_0.1,201.5588300228119,dmp_inf,10,0,0.43282628059387207,0.00278737859873584,tensor(0.9999),0.9995122099118533,0.9999900196638886
Anybeat,0.1,random_0.1,201.5588300228119,modified_ALE,3,0,0.049781084060668945,0.059348773183250665,tensor(0.9796),0.9716378164809149,0.9967414202596095
Anybeat,0.1,random_0.1,201.5588300228119,ALE_heuristic,3,0,0.04673004150390625,0.07392607881594476,tensor(0.9512),0.9443628800851367,0.9975557368941772
Anybeat,0.1,random_0.1,202.45448994636536,SWE,3,4,0.06312775611877441,0.0029125533698620898,tensor(0.9999),0.9994948558985012,0.9999894786624645
Anybeat,0.1,random_0.1,202.45448994636536,um_IC,9,0,0.06485652923583984,0.003155296151206139,tensor(0.9999),0.9994811076976922,0.9999902677627797
Anybeat,0.1,random_0.1,202.45448994636536,dmp_um_fast,10,0,0.24393939971923828,0.23091558201422804,tensor(0.4506),0.7038714263571422,0.7088363190258924
Anybeat,0.1,random_0.1,202.45448994636536,Naive,10,0,0.14737439155578613,0.23085235739948734,tensor(0.4530),0.7042618446534096,0.7092073276907399
Anybeat,0.1,random_0.1,202.45448994636536,dmp_ic_fast,10,0,0.16815924644470215,0.23087101114707034,tensor(0.4514),0.704082604832541,0.7089912457211036
Anybeat,0.1,random_0.1,202.45448994636536,dmp_inf,10,0,0.4494457244873047,0.0027192389729966526,tensor(0.9999),0.9995158202069457,0.9999913198965331
Anybeat,0.1,random_0.1,202.45448994636536,modified_ALE,3,0,0.05083751678466797,0.06562751782219389,tensor(0.9768),0.9700141339636406,0.9950918617980229
Anybeat,0.1,random_0.1,202.45448994636536,ALE_heuristic,3,0,0.04726529121398926,0.0754242576183661,tensor(0.9518),0.9353523089658256,0.9981028713256201
Anybeat,0.1,random_0.1,200.77243614196777,SWE,3,4,0.061586856842041016,0.0029260286876527006,tensor(0.9999),0.9994806352159552,0.999990530796218
Anybeat,0.1,random_0.1,200.77243614196777,um_IC,9,0,0.06168794631958008,0.003214507084713502,tensor(0.9999),0.9994671899733126,0.9999842179936967
Anybeat,0.1,random_0.1,200.77243614196777,dmp_um_fast,10,0,0.23679518699645996,0.22582895639501815,tensor(0.4565),0.7013724397519551,0.679208890109364
Anybeat,0.1,random_0.1,200.77243614196777,Naive,10,0,0.1452951431274414,0.22574783889764757,tensor(0.4590),0.701806330731846,0.6794479217464999
Anybeat,0.1,random_0.1,200.77243614196777,dmp_ic_fast,10,0,0.16854333877563477,0.22578590579660932,tensor(0.4573),0.7015603347025907,0.6793070015818832
Anybeat,0.1,random_0.1,200.77243614196777,dmp_inf,10,0,0.31964731216430664,0.0027820688762973554,tensor(0.9999),0.9995032824659127,0.9999875059116764
Anybeat,0.1,random_0.1,200.77243614196777,modified_ALE,3,0,0.04499983787536621,0.05627671648723018,tensor(0.9808),0.968724964597564,0.9973868943063255
Anybeat,0.1,random_0.1,200.77243614196777,ALE_heuristic,3,0,0.04514598846435547,0.07667269270130286,tensor(0.9464),0.9344377316631406,0.9965885878208152
Anybeat,0.1,random_0.1,199.81753158569336,SWE,3,4,0.06365585327148438,0.0029413495929241596,tensor(0.9999),0.9994936624146983,0.9999835604101006
Anybeat,0.1,random_0.1,199.81753158569336,um_IC,9,0,0.06180310249328613,0.003118930433176267,tensor(0.9999),0.999485990387445,0.9999811931091551
Anybeat,0.1,random_0.1,199.81753158569336,dmp_um_fast,10,0,0.24789977073669434,0.2330966898268264,tensor(0.4452),0.6967998139524134,0.6848485900618602
Anybeat,0.1,random_0.1,199.81753158569336,Naive,10,0,0.1474466323852539,0.23304329671488022,tensor(0.4476),0.6971544391797667,0.6850658556819695
Anybeat,0.1,random_0.1,199.81753158569336,dmp_ic_fast,10,0,0.15510153770446777,0.23305919365290728,tensor(0.4461),0.6969723310626219,0.6849181624063141
Anybeat,0.1,random_0.1,199.81753158569336,dmp_inf,10,0,0.3282790184020996,0.002802228810364579,tensor(0.9999),0.9995089013895913,0.9999888210788686
Anybeat,0.1,random_0.1,199.81753158569336,modified_ALE,3,0,0.045395612716674805,0.06445708407178,tensor(0.9773),0.9721795899812319,0.9954710244994606
Anybeat,0.1,random_0.1,199.81753158569336,ALE_heuristic,3,0,0.04516005516052246,0.07763778637805745,tensor(0.9494),0.9448485594076814,0.997882975371127
Anybeat,0.1,random_0.1,200.37911343574524,SWE,3,4,0.06742429733276367,0.003057326957320513,tensor(0.9999),0.9994886157782911,0.9999752748567914
Anybeat,0.1,random_0.1,200.37911343574524,um_IC,9,0,0.06936359405517578,0.0033241561499213154,tensor(0.9999),0.9994854954371614,0.9999738281728803
Anybeat,0.1,random_0.1,200.37911343574524,dmp_um_fast,10,0,0.22874903678894043,0.22514080536000053,tensor(0.4668),0.7082870986330687,0.6996365272431623
Anybeat,0.1,random_0.1,200.37911343574524,Naive,10,0,0.153151273727417,0.22507642203113437,tensor(0.4694),0.7088106331206955,0.6999599268556613
Anybeat,0.1,random_0.1,200.37911343574524,dmp_ic_fast,10,0,0.1693873405456543,0.2251020087692248,tensor(0.4677),0.7084901754029189,0.6997251695118993
Anybeat,0.1,random_0.1,200.37911343574524,dmp_inf,10,0,0.4550039768218994,0.002876589073133397,tensor(0.9999),0.9995200392216739,0.9999914514132525
Anybeat,0.1,random_0.1,200.37911343574524,modified_ALE,3,0,0.04741311073303223,0.06219457339909135,tensor(0.9785),0.975342923759129,0.9958279608753543
Anybeat,0.1,random_0.1,200.37911343574524,ALE_heuristic,3,0,0.047749996185302734,0.07799408792402193,tensor(0.9468),0.9480695703532243,0.9977055593169338
Anybeat,0.1,random_0.1,201.2367126941681,SWE,3,4,0.06254410743713379,0.002926466613005551,tensor(0.9999),0.9994980741192088,0.999995922981705
Anybeat,0.1,random_0.1,201.2367126941681,um_IC,9,0,0.0619354248046875,0.003144984094918419,tensor(0.9999),0.9994897539125356,0.9999948708479515
Anybeat,0.1,random_0.1,201.2367126941681,dmp_um_fast,10,0,0.23174190521240234,0.23241810034243257,tensor(0.4446),0.705992139345439,0.6944603579674669
Anybeat,0.1,random_0.1,201.2367126941681,Naive,10,0,0.14645123481750488,0.2323349301216849,tensor(0.4470),0.706553867428226,0.6947611367042645
Anybeat,0.1,random_0.1,201.2367126941681,dmp_ic_fast,10,0,0.1575477123260498,0.23237703195302184,tensor(0.4454),0.7062183690574573,0.6945251957100299
Anybeat,0.1,random_0.1,201.2367126941681,dmp_inf,10,0,0.44247961044311523,0.0028261643986748895,tensor(0.9999),0.9995132405134785,0.9999951338813898
Anybeat,0.1,random_0.1,201.2367126941681,modified_ALE,3,0,0.04519391059875488,0.06315536664461084,tensor(0.9779),0.9735621797133962,0.9954174314363888
Anybeat,0.1,random_0.1,201.2367126941681,ALE_heuristic,3,0,0.04461050033569336,0.07802617259572983,tensor(0.9482),0.9472165862052264,0.9977393591137667
Anybeat,0.1,random_0.1,203.62320590019226,SWE,3,4,0.06182098388671875,0.002927429569639169,tensor(0.9999),0.9994864355868698,0.9999819822094704
Anybeat,0.1,random_0.1,203.62320590019226,um_IC,9,0,0.0724482536315918,0.0032115109690504665,tensor(0.9999),0.9994754727140389,0.9999784312580521
Anybeat,0.1,random_0.1,203.62320590019226,dmp_um_fast,10,0,0.23067784309387207,0.23378495807916888,tensor(0.4428),0.7015815686973521,0.6869508848181833
Anybeat,0.1,random_0.1,203.62320590019226,Naive,10,0,0.14748835563659668,0.23371862052978162,tensor(0.4452),0.7019961511096393,0.6872524526552962
Anybeat,0.1,random_0.1,203.62320590019226,dmp_ic_fast,10,0,0.16971111297607422,0.2337438668757099,tensor(0.4437),0.7017718084358927,0.6870656989140401
Anybeat,0.1,random_0.1,203.62320590019226,dmp_inf,10,0,0.31429481506347656,0.0028211151572467607,tensor(0.9999),0.9995035444683412,0.9999811931091552
Anybeat,0.1,random_0.1,203.62320590019226,modified_ALE,3,0,0.0464475154876709,0.060702567886560095,tensor(0.9791),0.9688179592898021,0.9959940664916969
Anybeat,0.1,random_0.1,203.62320590019226,ALE_heuristic,3,0,0.04875540733337402,0.07489918325388557,tensor(0.9499),0.9378470137550737,0.9968702966333299
Anybeat,0.1,random_0.1,201.879212141037,SWE,3,4,0.06348514556884766,0.0028709737662826773,tensor(0.9999),0.9994673926465664,0.9999880319785532
Anybeat,0.1,random_0.1,201.879212141037,um_IC,9,0,0.06521868705749512,0.0031779504904112426,tensor(0.9999),0.999464867071454,0.9999860592277655
Anybeat,0.1,random_0.1,201.879212141037,dmp_um_fast,10,0,0.23388075828552246,0.22763008949187363,tensor(0.4630),0.7195614503646037,0.7150310852917487
Anybeat,0.1,random_0.1,201.879212141037,Naive,10,0,0.15560269355773926,0.22756146660391735,tensor(0.4655),0.7199653480647619,0.7152667632525452
