num_nodes,p,prob_selected,edge_method,time_mc,approximation,time_ic_apporx,rmse,pearson,spearman,auc
10000,0.0004,0.05,random_1,191.6692409515381,Modified_ALE,0.03867173194885254,50.8388375392647,tensor(-0.0012),0.07244415104949398,0.569849647600852
10000,0.0004,0.05,random_1,192.30448961257935,Matic,0.02761554718017578,0.03799458392600444,tensor(0.9906),0.9880712862573781,0.9996770055366127
10000,0.0004,0.05,random_1,192.30448961257935,fixed_point,0.08140063285827637,0.06975392491268342,tensor(0.9721),0.9520571467312391,0.9990965296377892
10000,0.0004,0.05,random_1,192.30448961257935,dmp,4.3153557777404785,0.06316857446869961,tensor(0.9830),0.9849275675086551,0.9996631030626579
10000,0.0004,0.05,random_1,192.30448961257935,Srivastava,0.03134727478027344,0.13078797228546607,tensor(0.9360),0.9402112470460979,0.9981764905737418
10000,0.0004,0.05,random_1,192.30448961257935,ALE,0.040383100509643555,4.3900567498156065,tensor(0.4188),0.7369365903965984,0.8649420362058511
10000,0.0004,0.05,random_1,192.30448961257935,Modified_ALE,0.03964638710021973,50.8388375392647,tensor(-0.0012),0.07244415104949398,0.569849647600852
10000,0.0004,0.1,random_0.05,27.94410014152527,Matic,0.02422356605529785,0.0009938005954001213,tensor(1.0000),0.9903319619947398,1.0
10000,0.0004,0.1,random_0.05,27.94410014152527,fixed_point,0.07651686668395996,0.000993955418360073,tensor(1.0000),0.9903291507933218,1.0
10000,0.0004,0.1,random_0.05,27.94410014152527,dmp,4.327601909637451,0.000992102651851517,tensor(1.0000),0.990331314298822,1.0
10000,0.0004,0.1,random_0.05,27.94410014152527,Srivastava,0.03383898735046387,0.0009939352875919386,tensor(1.0000),0.9903296882202188,1.0
10000,0.0004,0.1,random_0.05,27.94410014152527,ALE,0.038680076599121094,0.008371910472995094,tensor(0.9998),0.989812861823196,1.0
10000,0.0004,0.1,random_0.05,27.94410014152527,Modified_ALE,0.04141354560852051,0.0012260635500626366,tensor(1.0000),0.9902998520729034,1.0
10000,0.0004,0.1,random_0.05,27.7756609916687,Matic,0.024781227111816406,0.0009938005954001213,tensor(1.0000),0.9903319619947398,1.0
10000,0.0004,0.1,random_0.05,27.7756609916687,fixed_point,0.07959747314453125,0.000993955418360073,tensor(1.0000),0.9903291507933218,1.0
10000,0.0004,0.1,random_0.05,27.7756609916687,dmp,4.289567947387695,0.000992102651851517,tensor(1.0000),0.990331314298822,1.0
10000,0.0004,0.1,random_0.05,27.7756609916687,Srivastava,0.03485751152038574,0.0009939352875919386,tensor(1.0000),0.9903296882202188,1.0
10000,0.0004,0.1,random_0.05,27.7756609916687,ALE,0.03833365440368652,0.008371910472995094,tensor(0.9998),0.989812861823196,1.0
10000,0.0004,0.1,random_0.05,27.7756609916687,Modified_ALE,0.03974723815917969,0.0012260635500626366,tensor(1.0000),0.9902998520729034,1.0
10000,0.0004,0.1,random_0.05,28.147337913513184,Matic,0.02474808692932129,0.0009938005954001213,tensor(1.0000),0.9903319619947398,1.0
10000,0.0004,0.1,random_0.05,28.147337913513184,fixed_point,0.07839655876159668,0.000993955418360073,tensor(1.0000),0.9903291507933218,1.0
10000,0.0004,0.1,random_0.05,28.147337913513184,dmp,4.285839796066284,0.000992102651851517,tensor(1.0000),0.990331314298822,1.0
10000,0.0004,0.1,random_0.05,28.147337913513184,Srivastava,0.03238201141357422,0.0009939352875919386,tensor(1.0000),0.9903296882202188,1.0
10000,0.0004,0.1,random_0.05,28.147337913513184,ALE,0.037339210510253906,0.008371910472995094,tensor(0.9998),0.989812861823196,1.0
10000,0.0004,0.1,random_0.05,28.147337913513184,Modified_ALE,0.03825640678405762,0.0012260635500626366,tensor(1.0000),0.9902998520729034,1.0
10000,0.0004,0.1,random_0.05,27.721017837524414,Matic,0.02452373504638672,0.0009938005954001213,tensor(1.0000),0.9903319619947398,1.0
10000,0.0004,0.1,random_0.05,27.721017837524414,fixed_point,0.0766153335571289,0.000993955418360073,tensor(1.0000),0.9903291507933218,1.0
10000,0.0004,0.1,random_0.05,27.721017837524414,dmp,4.2705910205841064,0.000992102651851517,tensor(1.0000),0.990331314298822,1.0
10000,0.0004,0.1,random_0.05,27.721017837524414,Srivastava,0.0317845344543457,0.0009939352875919386,tensor(1.0000),0.9903296882202188,1.0
10000,0.0004,0.1,random_0.05,27.721017837524414,ALE,0.037455081939697266,0.008371910472995094,tensor(0.9998),0.989812861823196,1.0
10000,0.0004,0.1,random_0.05,27.721017837524414,Modified_ALE,0.04469585418701172,0.0012260635500626366,tensor(1.0000),0.9902998520729034,1.0
10000,0.0004,0.1,random_0.05,27.8051860332489,Matic,0.02899003028869629,0.0009938005954001213,tensor(1.0000),0.9903319619947398,1.0
10000,0.0004,0.1,random_0.05,27.8051860332489,fixed_point,0.07686901092529297,0.000993955418360073,tensor(1.0000),0.9903291507933218,1.0
10000,0.0004,0.1,random_0.05,27.8051860332489,dmp,4.263458967208862,0.000992102651851517,tensor(1.0000),0.990331314298822,1.0
10000,0.0004,0.1,random_0.05,27.8051860332489,Srivastava,0.030816316604614258,0.0009939352875919386,tensor(1.0000),0.9903296882202188,1.0
10000,0.0004,0.1,random_0.05,27.8051860332489,ALE,0.036927223205566406,0.008371910472995094,tensor(0.9998),0.989812861823196,1.0
10000,0.0004,0.1,random_0.05,27.8051860332489,Modified_ALE,0.03740286827087402,0.0012260635500626366,tensor(1.0000),0.9902998520729034,1.0
10000,0.0004,0.1,random_0.05,27.50495171546936,Matic,0.02556610107421875,0.0009938005954001213,tensor(1.0000),0.9903319619947398,1.0
10000,0.0004,0.1,random_0.05,27.50495171546936,fixed_point,0.07630372047424316,0.000993955418360073,tensor(1.0000),0.9903291507933218,1.0
10000,0.0004,0.1,random_0.05,27.50495171546936,dmp,4.284083604812622,0.000992102651851517,tensor(1.0000),0.990331314298822,1.0
10000,0.0004,0.1,random_0.05,27.50495171546936,Srivastava,0.03870415687561035,0.0009939352875919386,tensor(1.0000),0.9903296882202188,1.0
10000,0.0004,0.1,random_0.05,27.50495171546936,ALE,0.04091072082519531,0.008371910472995094,tensor(0.9998),0.989812861823196,1.0
10000,0.0004,0.1,random_0.05,27.50495171546936,Modified_ALE,0.0403444766998291,0.0012260635500626366,tensor(1.0000),0.9902998520729034,1.0
10000,0.0004,0.1,random_0.05,27.944925546646118,Matic,0.028037071228027344,0.0009938005954001213,tensor(1.0000),0.9903319619947398,1.0
10000,0.0004,0.1,random_0.05,27.944925546646118,fixed_point,0.07536721229553223,0.000993955418360073,tensor(1.0000),0.9903291507933218,1.0
10000,0.0004,0.1,random_0.05,27.944925546646118,dmp,4.255303859710693,0.000992102651851517,tensor(1.0000),0.990331314298822,1.0
10000,0.0004,0.1,random_0.05,27.944925546646118,Srivastava,0.03209280967712402,0.0009939352875919386,tensor(1.0000),0.9903296882202188,1.0
10000,0.0004,0.1,random_0.05,27.944925546646118,ALE,0.03670001029968262,0.008371910472995094,tensor(0.9998),0.989812861823196,1.0
10000,0.0004,0.1,random_0.05,27.944925546646118,Modified_ALE,0.038583993911743164,0.0012260635500626366,tensor(1.0000),0.9902998520729034,1.0
10000,0.0004,0.1,random_0.05,27.600158214569092,Matic,0.025021076202392578,0.0009938005954001213,tensor(1.0000),0.9903319619947398,1.0
10000,0.0004,0.1,random_0.05,27.600158214569092,fixed_point,0.0766305923461914,0.000993955418360073,tensor(1.0000),0.9903291507933218,1.0
10000,0.0004,0.1,random_0.05,27.600158214569092,dmp,4.282123804092407,0.000992102651851517,tensor(1.0000),0.990331314298822,1.0
10000,0.0004,0.1,random_0.05,27.600158214569092,Srivastava,0.03244900703430176,0.0009939352875919386,tensor(1.0000),0.9903296882202188,1.0
10000,0.0004,0.1,random_0.05,27.600158214569092,ALE,0.03761744499206543,0.008371910472995094,tensor(0.9998),0.989812861823196,1.0
10000,0.0004,0.1,random_0.05,27.600158214569092,Modified_ALE,0.03918194770812988,0.0012260635500626366,tensor(1.0000),0.9902998520729034,1.0
10000,0.0004,0.1,random_0.05,27.348600149154663,Matic,0.026551246643066406,0.0009938005954001213,tensor(1.0000),0.9903319619947398,1.0
10000,0.0004,0.1,random_0.05,27.348600149154663,fixed_point,0.08309555053710938,0.000993955418360073,tensor(1.0000),0.9903291507933218,1.0
10000,0.0004,0.1,random_0.05,27.348600149154663,dmp,4.297616720199585,0.000992102651851517,tensor(1.0000),0.990331314298822,1.0
10000,0.0004,0.1,random_0.05,27.348600149154663,Srivastava,0.031889915466308594,0.0009939352875919386,tensor(1.0000),0.9903296882202188,1.0
10000,0.0004,0.1,random_0.05,27.348600149154663,ALE,0.037589073181152344,0.008371910472995094,tensor(0.9998),0.989812861823196,1.0
10000,0.0004,0.1,random_0.05,27.348600149154663,Modified_ALE,0.03723406791687012,0.0012260635500626366,tensor(1.0000),0.9902998520729034,1.0
10000,0.0004,0.1,random_0.05,27.732272386550903,Matic,0.025918245315551758,0.0009938005954001213,tensor(1.0000),0.9903319619947398,1.0
10000,0.0004,0.1,random_0.05,27.732272386550903,fixed_point,0.09807348251342773,0.000993955418360073,tensor(1.0000),0.9903291507933218,1.0
